Afghanistan;Kabul
Albania;Tirane
Algeria;Algiers
Andorra;Andorra la Vella
Angola;Luanda
Antigua;Saint John's
Argentina;Buenos Aires
Armenia;Yerevan
Australia;Canberra
Austria;Vienna
Azerbaijan;Baku
The Bahamas;Nassau
Bahrain;Manama
Bangladesh;Dhaka
Barbados;Bridgetown
Belarus;Minsk
Belgium;Brussels
Belize;Belmopan
Benin;Porto-Novo
Bhutan;Thimphu
Bolivia;La Paz
Bosnia;Sarajevo
Herzegovina;Sarajevo
Botswana;Gaborone
Brazil;Brasilia
Brunei;Bandar Seri Begawan
Bulgaria;Sofia
Burkina Faso;Ouagadougou
Burundi;Bujumbura
Cambodia;Phnom Penh
Cameroon;Yaounde
Canada;Ottawa
Cape Verde;Praia
Central African Republic;Bangui
Chad;N'Djamena
Chile;Santiago
China;Beijing
Colombia;Bogota
Comoros;Moroni
Congo-Brazzaville;Brazzaville
Congo;Kinshasa
Costa Rica;San Jose
Cote d'Ivoire;Abidjan
Ivory Coast;Abidjan
Croatia;Zagreb
Cuba;Havana
Cyprus;Nicosia
Czech Republic;Prague
Denmark;Copenhagen
Djibouti;Djibouti
Dominica;Roseau
Dominican Republic;Santo Domingo
East Timor;Dili
Ecuador;Quito
Egypt;Cairo
El Salvador;San Salvador
Equatorial Guinea;Malabo
Eritrea;Asmara
Estonia;Tallinn
Ethiopia;Addis Ababa
Fiji;Suva
Finland;Helsinki
France;Paris
Gabon;Libreville
The Gambia;Banjul
Georgia;Tbilisi
Germany;Berlin
Ghana;Accra
Greece;Athens
Grenada;Saint George's
Guatemala;Guatemala City
Guinea;Conakry
Guinea-Bissau;Bissau
Guyana;Georgetown
Haiti;Port-au-Prince
Honduras;Tegucigalpa
Hungary;Budapest
Iceland;Reykjavik
India;New Delhi
Indonesia;Jakarta
Iran;Tehran
Iraq;Baghdad
Ireland;Dublin
Israel;Jerusalem
Italy;Rome
Jamaica;Kingston
Japan;Tokyo
Jordan;Amman
Kazakhstan;Astana
Kenya;Nairobi
Kiribati;Tarawa Atoll
North Korea;Pyongyang
South Korea;Seoul
Kosovo;Pristina
Kuwait;Kuwait City
Kyrgyzstan;Bishkek
Laos;Vientiane
Latvia;Riga
Lebanon;Beirut
Lesotho;Maseru
Liberia;Monrovia
Libya;Tripoli
Liechtenstein;Vaduz
Lithuania;Vilnius
Luxembourg;Luxembourg
Macedonia;Skopje
Madagascar;Antananarivo
Malawi;Lilongwe
Malaysia;Kuala Lumpur
Maldives;Male
Mali;Bamako
Malta;Valletta
Marshall Islands;Majuro
Mauritania;Nouakchott
Mauritius;Port Louis
Mexico;Mexico City
Micronesia;Palikir
Moldova;Chisinau
Monaco;Monaco
Mongolia;Ulaanbaatar
Montenegro;Podgorica
Morocco;Rabat
Mozambique;Maputo
Myanmar;Rangoon
Namibia;Windhoek
Nauru;Yaren
Nepal;Kathmandu
Netherlands;The Hague
New Zealand;Wellington
Nicaragua;Managua
Niger;Niamey
Nigeria;Abuja
Norway;Oslo
Oman;Muscat
Pakistan;Islamabad
Palau;Melekeok
Panama;Panama City
Papua New Guinea;Port Moresby
Paraguay;Asuncion
Peru;Lima
Philippines;Manila
Poland;Warsaw
Portugal;Lisbon
Qatar;Doha
Romania;Bucharest
Russia;Moscow
Rwanda;Kigali
Saint Kitts and Nevis;Basseterre
Saint Lucia;Castries
Saint Vincent;Kingstown
Samoa;Apia
San Marino;San Marino
Sao Tome;Sao Tome
Saudi Arabia;Riyadh
Senegal;Dakar
Serbia;Belgrade
Seychelles;Victoria
Sierra Leone;Freetown
Singapore;Singapore
Slovakia;Bratislava
Slovenia;Ljubljana
Solomon Islands;Honiara
Somalia;Mogadishu
South Africa;Pretoria
Spain;Madrid
Sri Lanka;Colombo
Sudan;Khartoum
Suriname;Paramaribo
Swaziland;Mbabane
Sweden;Stockholm
Switzerland;Bern
Syria;Damascus
Taiwan;Taipei
Tajikistan;Dushanbe
Tanzania;Dar es Salaam
Thailand;Bangkok
Togo;Lome
Tonga;Nuku'alofa
Trinidad;Port-of-Spain
Tobago;Port-of-Spain
Trinidad and Tobago;Port-of-Spain
Tunisia;Tunis
Turkey;Ankara
Turkmenistan;Ashgabat
Tuvalu;Vaiaku village
Uganda;Kampala
Ukraine;Kyiv
UAE;Abu Dhabi
United Arab Emirates;Abu Dhabi
United Kingdom;London
Great Britain;London
England;London
United States of America;Washington D.C.
USA;Washington D.C.
Uruguay;Montevideo
Uzbekistan;Tashkent
Vanuatu;Port-Vila
Vatican;Vatican City
Venezuela;Caracas
Vietnam;Hanoi
Yemen;Sanaa
Zambia;Lusaka
Zimbabwe;Harare
